energy,intensity,InitialState,FinalState,alpha,Hf,gamma
880.98,66.64,1684.040_206PB,803.060_206PB,0.00857,0.000,1
891.80,0.0,2604.680_214PO,1712.970_214PO,0,0.000,1
904.31,0.076,2447.702_214PO,1543.372_214PO,0.00326,0.000,1
915.75,0.023,2293.358_214PO,1377.678_214PO,0.017,0.000,1
917.70,0.005,2192.537_214PO,1274.766_214PO,0.00317,0.000,1
930.20,0.026,2694.620_214PO,1764.515_214PO,0,0.000,1
934.06,3.1077,1543.372_214PO,609.316_214PO,0.0234,0.000,1
934.10,0.05,2208.690_214PO,1274.766_214PO,0,0.000,1
934.50,0.01,2698.760_214PO,1764.515_214PO,0,0.000,1
938.65,0.013,2785.960_214PO,1847.443_214PO,0,0.000,1
939.60,0.017,2482.468_214PO,1543.372_214PO,0.016,0.000,1
943.33,0.017,2604.680_214PO,1661.279_214PO,0,0.000,1
949.80,0.0055,2662.310_214PO,1712.970_214PO,0,0.000,1
952.20,0.0059,2694.620_214PO,1742.980_214PO,0,0.000,1
961.62,0.0101,2505.370_214PO,1543.372_214PO,0,0.000,1
964.08,0.3651,2728.609_214PO,1764.515_214PO,0,0.000,1
965.00,0.011,2508.170_214PO,1543.372_214PO,0,0.000,1
965.00,0.0,2694.620_214PO,1729.609_214PO,0,0.000,1
976.18,0.0154,2719.270_214PO,1742.980_214PO,0,0.000,1
991.49,0.011,2266.410_214PO,1274.766_214PO,0.00276,0.000,1
1011.80,0.0,3022.300_214PO,2010.830_214PO,0,0.000,1
1013.40,0.013,2860.890_214PO,1847.443_214PO,0,0.000,1
1021.36,0.015,2785.960_214PO,1764.515_214PO,0,0.000,1
1030.00,11.0,0.000_214PB,0.000_214BI,0,1608.0,0
1032.38,0.063,2447.702_214PO,1415.495_214PO,0.00257,0.000,1
1033.30,0.02,2694.620_214PO,1661.279_214PO,0,0.000,1
1038.00,0.0084,2698.760_214PO,1661.279_214PO,0,0.000,1
1038.00,0.0,2802.530_214PO,1764.515_214PO,0,0.000,1
1045.70,0.023,2423.230_214PO,1377.678_214PO,0,0.000,1
1051.96,0.3131,1661.279_214PO,609.316_214PO,0.012,0.000,1
1058.10,0.008,2719.270_214PO,1661.279_214PO,0,0.000,1
1062.40,0.013,2826.980_214PO,1764.515_214PO,0,0.000,1
1067.39,0.025,2728.609_214PO,1661.279_214PO,0,0.000,1
1069.96,0.2721,2447.702_214PO,1377.678_214PO,0.00241,0.000,1
1087.40,0.015,2630.860_214PO,1543.372_214PO,0,0.000,1
1103.70,0.098,1712.970_214PO,609.316_214PO,0.011,0.000,1
1104.71,0.078,2482.468_214PO,1377.678_214PO,0.011,0.000,1
1108.80,0.015,2769.940_214PO,1661.279_214PO,0,0.000,1
1118.90,0.04,2662.310_214PO,1543.372_214PO,0,0.000,1
1120.29,14.9231,1729.609_214PO,609.316_214PO,0.01522,0.000,1
1130.45,0.036,2508.170_214PO,1377.678_214PO,0,0.000,1
1133.66,0.2513,1742.980_214PO,609.316_214PO,0.00578,0.000,1
1155.21,1.6333,1764.515_214PO,609.316_214PO,0.0135,0.000,1
1155.60,0.016,2698.760_214PO,1543.372_214PO,0,0.000,1
1156.00,0.007,3003.400_214PO,1847.443_214PO,0,0.000,1
1161.50,100.0,0.000_210BI,0.000_210PO,0,433036.8,0
1167.30,0.012,2544.960_214PO,1377.678_214PO,0,0.000,1
1173.00,0.055,2447.702_214PO,1274.766_214PO,0.00542,0.000,1
1194.68,0.047,1997.730_206PB,803.060_206PB,0.00474,0.000,1
1206.40,0.0,3053.930_214PO,1847.443_214PO,0,0.000,1
1207.68,0.4511,2482.468_214PO,1274.766_214PO,0.00196,0.000,1
1226.70,0.018,2604.680_214PO,1377.678_214PO,0,0.000,1
1226.70,0.018,2769.940_214PO,1543.372_214PO,0,0.000,1
1230.60,0.008,2505.370_214PO,1274.766_214PO,0,0.000,1
1238.12,5.8352,1847.443_214PO,609.316_214PO,0.012,0.000,1
1253.14,0.0,2630.860_214PO,1377.678_214PO,0,0.000,1
1279.00,0.013,2940.670_214PO,1661.279_214PO,0,0.000,1
1280.98,1.4343,1890.306_214PO,609.316_214PO,0.01101,0.000,1
1284.00,0.011,2662.310_214PO,1377.678_214PO,0,0.000,1
1285.10,0.016,3014.110_214PO,1729.609_214PO,0,0.000,1
1303.75,0.107,2719.270_214PO,1415.495_214PO,0,0.000,1
1316.99,0.081,2694.620_214PO,1377.678_214PO,0,0.000,1
1317.70,0.0,2860.890_214PO,1543.372_214PO,0,0.000,1
1321.50,0.005,2698.760_214PO,1377.678_214PO,0,0.000,1
1329.94,0.081,2604.680_214PO,1274.766_214PO,0,0.000,1
1341.49,0.021,2719.270_214PO,1377.678_214PO,0,0.000,1
1351.00,0.0,2728.609_214PO,1377.678_214PO,0,0.000,1
1353.40,0.0,3014.110_214PO,1661.279_214PO,0,0.000,1
1361.20,0.0,3022.300_214PO,1661.279_214PO,0,0.000,1
1370.50,0.01,2785.960_214PO,1415.495_214PO,0,0.000,1
1377.67,3.9888,1377.678_214PO,0.000_214PO,0.00404,0.000,1
1385.31,0.7932,1994.640_214PO,609.316_214PO,0.00163,0.000,1
1387.50,0.0,2662.310_214PO,1274.766_214PO,0,0.000,1
